"Name","Company","State","City","Salary","Location","Url"
"b'Quality Engineer'","b'ProteinSimple'","CA","San Jose","$82k-$113k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bd377eec&cb=1515801400765&jobListingId=2554561349"
"b'Quality Engineer'","b'Integrated Device Technology'","CA","San Jose","$74k-$98k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=134181&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_54fadf71&cb=1515801400766&jobListingId=2600432059"
"b'Quality Engineer'","b'Tata Consultancy Services (North America)'","CA","Los Gatos","$58k-$118k","Los Gatos, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4120&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b5024139&cb=1515801400768&jobListingId=2633980087"
"b'Principal Developer, Software Quality Assurance'","b'Western Digital'","CA","Milpitas","$99k-$140k","Milpitas, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=61138&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9700bc5e&cb=1515801400769&jobListingId=2563802107"
"b'Quality Engineer'","b'Bio-Techne'","CA","San Jose","$76k-$103k","San Jose, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4120&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5dc3bc68&cb=1515801400770&jobListingId=2497732359"
"b'Software Quality Engineer'","b'Amazon'","CA","Sunnyvale","$73k-$102k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=297635&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_42538b31&cb=1515801400772&jobListingId=2632585378"
"b'Quality Engineer'","b'NetApp'","CA","Sunnyvale","$76k-$149k","Sunnyvale, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=133230&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9cec5347&cb=1515801400773&jobListingId=2632473877"
"b'Quality Engineer'","b'ICONMA'","CA","Santa Clara","","Santa Clara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=4120&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b441429&cb=1515801400774&jobListingId=2593121757"
"b'Quality Engineer'","b'Fabrinet'","CA","Santa Clara","$83k-$109k","Santa Clara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=4120&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd0b177a&cb=1515801400775&jobListingId=2274470314"
"b'Ios Software Engineer'","b'TripActions'","CA","Palo Alto","$95k-$122k","Palo Alto, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=228526&s=58&guid=00000160eccdd3cfac6dc13351d7bf6b&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_9fd150bf&cb=1515801400776&jobListingId=2608350009"
